case,model,sweep,level,n_entries,fields,uses_reference,trial,precision,recall,seam_recall,took_grade_cognate,surviving_false_cognates,residual,reasoning_tokens,missed
config_cross_domain,gpt-5-mini,coverage,2,2,full,True,2,0.833,1.0,1.0,1,1,3,576,
config_cross_domain,gpt-5-mini,coverage,3,3,full,True,0,1.0,0.8,1.0,0,0,7,1408,c.latency~m.latency
config_cross_domain,gpt-5-mini,coverage,3,3,full,True,1,0.8,0.8,1.0,1,1,5,1344,c.latency~m.latency
config_cross_domain,gpt-5-mini,coverage,3,3,full,True,2,0.833,1.0,1.0,1,1,3,960,
config_cross_domain,gpt-5-mini,coverage,4,4,full,True,0,0.833,1.0,1.0,1,1,3,1216,
config_cross_domain,gpt-5-mini,coverage,4,4,full,True,1,0.833,1.0,1.0,1,1,3,1280,
config_cross_domain,gpt-5-mini,coverage,4,4,full,True,2,0.833,1.0,1.0,1,1,3,1152,
config_cross_domain,gpt-5-mini,coverage,5,5,full,True,0,0.833,1.0,1.0,1,1,3,1344,
config_cross_domain,gpt-5-mini,coverage,5,5,full,True,1,0.833,1.0,1.0,1,1,3,1920,
config_cross_domain,gpt-5-mini,coverage,5,5,full,True,2,0.833,1.0,1.0,1,1,3,896,
config_cross_domain,gpt-5-mini,fields,id_only,5,id_only,True,0,0.833,1.0,1.0,1,1,3,1856,
config_cross_domain,gpt-5-mini,fields,id_only,5,id_only,True,1,0.833,1.0,1.0,1,1,3,1216,
config_cross_domain,gpt-5-mini,fields,id_only,5,id_only,True,2,1.0,1.0,1.0,0,0,5,1600,
config_cross_domain,gpt-5-mini,fields,label,5,label,True,0,1.0,1.0,1.0,0,0,5,1280,
config_cross_domain,gpt-5-mini,fields,label,5,label,True,1,0.833,1.0,1.0,1,1,3,1216,
config_cross_domain,gpt-5-mini,fields,label,5,label,True,2,1.0,1.0,1.0,0,0,5,896,
config_cross_domain,gpt-5-mini,fields,definition,5,definition,True,0,1.0,1.0,1.0,0,0,5,1088,
config_cross_domain,gpt-5-mini,fields,definition,5,definition,True,1,1.0,1.0,1.0,0,0,5,1792,
config_cross_domain,gpt-5-mini,fields,definition,5,definition,True,2,0.833,1.0,1.0,1,1,3,1792,
config_cross_domain,gpt-5-mini,fields,def_example,5,def_example,True,0,1.0,1.0,1.0,0,0,5,1152,
config_cross_domain,gpt-5-mini,fields,def_example,5,def_example,True,1,1.0,1.0,1.0,0,0,5,1856,
config_cross_domain,gpt-5-mini,fields,def_example,5,def_example,True,2,1.0,1.0,1.0,0,0,5,1088,
config_cross_domain,gpt-5-nano,coverage,0,0,none,False,0,0.833,1.0,1.0,1,1,3,3840,
config_cross_domain,gpt-5-nano,coverage,0,0,none,False,1,0.833,1.0,1.0,1,1,3,6208,
config_cross_domain,gpt-5-nano,coverage,0,0,none,False,2,0.8,0.8,0.5,1,1,5,4160,c.attachment~m.handoff
config_cross_domain,gpt-5-nano,coverage,1,1,full,True,0,0.833,1.0,1.0,1,1,3,4096,
config_cross_domain,gpt-5-nano,coverage,1,1,full,True,1,1.0,0.2,0.5,0,0,13,4288,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5-nano,coverage,1,1,full,True,2,1.0,0.2,0.5,0,0,13,2816,c.attachment~m.handoff;c.latency~m.latency;c.protection~m.protection;c.rate~m.rate
config_cross_domain,gpt-5-nano,coverage,2,2,full,True,0,0.833,1.0,1.0,1,1,3,4032,
config_cross_domain,gpt-5-nano,coverage,2,2,full,True,1,0.833,1.0,1.0,1,1,3,2752,
config_cross_domain,gpt-5-nano,coverage,2,2,full,True,2,0.714,1.0,1.0,1,1,2,5760,
config_cross_domain,gpt-5-nano,coverage,3,3,full,True,0,0.833,1.0,1.0,1,1,3,4928,
config_cross_domain,gpt-5-nano,coverage,3,3,full,True,1,0.833,1.0,1.0,1,1,3,3648,
config_cross_domain,gpt-5-nano,coverage,3,3,full,True,2,0.833,1.0,1.0,1,1,3,4544,
config_cross_domain,gpt-5-nano,coverage,4,4,full,True,0,1.0,0.8,1.0,0,0,7,4800,c.rate~m.rate
config_cross_domain,gpt-5-nano,coverage,4,4,full,True,1,0.833,1.0,1.0,1,1,3,4416,
config_cross_domain,gpt-5-nano,coverage,4,4,full,True,2,0.833,1.0,1.0,1,1,3,4800,
config_cross_domain,gpt-5-nano,coverage,5,5,full,True,0,0.833,1.0,1.0,1,1,3,4096,
config_cross_domain,gpt-5-nano,coverage,5,5,full,True,1,0.833,1.0,1.0,1,1,3,5120,
config_cross_domain,gpt-5-nano,coverage,5,5,full,True,2,0.833,1.0,1.0,1,1,3,4864,
config_cross_domain,gpt-5-nano,fields,id_only,5,id_only,True,0,1.0,1.0,1.0,0,0,5,5888,
config_cross_domain,gpt-5-nano,fields,id_only,5,id_only,True,1,1.0,1.0,1.0,0,0,5,4352,
config_cross_domain,gpt-5-nano,fields,id_only,5,id_only,True,2,0.833,1.0,1.0,1,1,3,3968,
config_cross_domain,gpt-5-nano,fields,label,5,label,True,0,0.833,1.0,1.0,1,1,3,4352,
config_cross_domain,gpt-5-nano,fields,label,5,label,True,1,1.0,1.0,1.0,0,0,5,4160,
config_cross_domain,gpt-5-nano,fields,label,5,label,True,2,1.0,1.0,1.0,0,0,5,7616,
config_cross_domain,gpt-5-nano,fields,definition,5,definition,True,0,1.0,1.0,1.0,0,0,5,3392,
config_cross_domain,gpt-5-nano,fields,definition,5,definition,True,1,0.833,1.0,1.0,1,1,3,3328,
config_cross_domain,gpt-5-nano,fields,definition,5,definition,True,2,0.833,1.0,1.0,1,1,3,3712,
config_cross_domain,gpt-5-nano,fields,def_example,5,def_example,True,0,0.833,1.0,1.0,1,1,3,3520,
config_cross_domain,gpt-5-nano,fields,def_example,5,def_example,True,1,0.833,1.0,1.0,1,1,3,4480,
config_cross_domain,gpt-5-nano,fields,def_example,5,def_example,True,2,1.0,1.0,1.0,0,0,5,2496,
