case,model,placement,reference_variant,evidence,budget,trial,submitted,proposed,precision,recall,surviving_instance_fc,experiment_only_recall,residual_total,residual_experiment_only,residual_native,confirmed_provision,refuted_provision,interrogated,interrogate_calls,provision_calls,turns,total_tokens,reasoning_tokens,latency_s,mean_conf_correct,mean_conf_incorrect,surviving_traps
instance_hard,gpt-5.6-sol,both_cognitive,none,name+key+attrs+rels,unbounded,0,True,11,1.0,1.0,0,1.0,3,0,3,2,1,8,8,3,2,7580,269,12.39,0.995,,
instance_hard,gpt-5.6-sol,one_inert,none,name+key+attrs+rels,unbounded,0,True,7,1.0,0.636,0,0.0,11,4,3,2,1,0,0,3,2,7153,341,12.32,1.0,,
instance_hard,gpt-5.6-sol,both_inert,none,name+key+attrs+rels,unbounded,0,True,7,1.0,0.636,0,0.0,11,4,3,0,0,0,0,0,1,3250,113,7.01,0.98,,
