case,stack,uses_reference,placement,proposed,true_positives,false_positives,false_negatives,surviving_false_cognates,precision,recall,f1,conf_correct_mean,conf_wrong_mean,calibration_gap,brier,confident_errors,confident_error_rate,residual,candidates,bilateral_checks,binding_ops,scaling,total_tokens,reasoning_tokens,latency_s,model
config_evpn_indeplex,openai-agent(no-ref),False,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.912,0.75,0.162,0.07,0,0.0,3,9,0,0,~N^2,4156,1088,24.54,gpt-5-mini
config_evpn_indeplex,openai-agent(no-ref),False,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.9,0.8,0.1,0.081,1,0.111,3,9,0,0,~N^2,3933,960,24.72,gpt-5-mini
config_evpn_indeplex,openai-agent(ref),True,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.938,0.7,0.238,0.058,0,0.0,3,9,0,19,~N,5209,896,21.27,gpt-5-mini
config_evpn_indeplex,openai-agent(ref),True,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.955,0.7,0.255,0.057,0,0.0,3,9,0,19,~N,5013,704,17.98,gpt-5-mini
config_evpn_indeplex,openai-agent(ref),True,one_inert,9,8,1,0,0,0.889,1.0,0.941,0.95,0.85,0.1,0.082,1,0.111,3,9,0,19,~N,5245,896,29.78,gpt-5-mini
config_evpn_indeplex,openai-agent(no-ref),False,both_inert,8,8,0,0,0,1.0,1.0,1.0,0.925,,,0.006,0,0.0,5,8,0,0,~N^2,4515,1536,24.11,gpt-5-mini
config_evpn_indeplex,openai-agent(no-ref),False,both_inert,9,8,1,0,0,0.889,1.0,0.941,0.856,0.6,0.256,0.062,0,0.0,3,9,0,0,~N^2,3985,1088,18.93,gpt-5-mini
config_evpn_indeplex,openai-agent(no-ref),False,both_inert,9,8,1,0,0,0.889,1.0,0.941,0.869,0.4,0.469,0.034,0,0.0,3,9,0,0,~N^2,4140,1216,19.78,gpt-5-mini
config_evpn_indeplex,openai-agent(ref),True,both_inert,8,8,0,0,0,1.0,1.0,1.0,0.9,,,0.011,0,0.0,5,8,0,19,~N,5151,1024,20.48,gpt-5-mini
config_evpn_indeplex,openai-agent(ref),True,both_inert,8,8,0,0,0,1.0,1.0,1.0,0.931,,,0.006,0,0.0,5,8,0,19,~N,5381,1344,21.33,gpt-5-mini
config_evpn_indeplex,openai-agent(ref),True,both_inert,8,8,0,0,0,1.0,1.0,1.0,0.938,,,0.004,0,0.0,5,8,0,19,~N,5269,1152,23.65,gpt-5-mini
config_evpn_indeplex,openai-agent(no-ref),False,both_cognitive,9,8,1,0,0,0.889,1.0,0.941,0.866,0.8,0.066,0.088,1,0.111,3,9,0,0,~N^2,8488,5632,37.47,gpt-5-nano
