case,agent_source,model,placement,trial,n_proposals,oracle_reach,agent_reach,co_decided,agree,disagree,agreement_rate,agent_pass_oracle_fail,agent_fail_oracle_pass,agent_only_decided,oracle_only_decided,disagree_oracle_right,disagree_agent_right,agent_acc_where_decided,oracle_acc_where_decided
verify_hard,invariant,gpt-5-nano,one_inert,4,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5-nano,one_inert,5,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.714,1.0
verify_hard,invariant,gpt-5-nano,both_inert,0,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-nano,both_inert,1,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-nano,both_inert,2,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-nano,both_inert,3,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-nano,both_inert,4,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,gpt-5-nano,both_inert,5,14,0,14,0,0,0,,0,0,14,0,0,0,0.714,
verify_hard,invariant,qwen2.5:7b,both_cognitive,0,14,11,14,11,8,3,0.727,0,3,3,0,3,0,0.714,1.0
verify_hard,invariant,qwen2.5:7b,both_cognitive,1,14,11,14,11,10,1,0.909,0,1,3,0,1,0,0.857,1.0
verify_hard,invariant,qwen2.5:7b,both_cognitive,2,14,11,14,11,11,0,1.0,0,0,3,0,0,0,1.0,1.0
verify_hard,invariant,qwen2.5:7b,both_cognitive,3,14,11,14,11,9,2,0.818,0,2,3,0,2,0,0.786,1.0
verify_hard,invariant,qwen2.5:7b,both_cognitive,4,14,11,9,7,5,2,0.714,0,2,2,4,2,0,0.667,1.0
verify_hard,invariant,qwen2.5:7b,both_cognitive,5,14,11,13,10,10,0,1.0,0,0,3,1,0,0,1.0,1.0
verify_hard,invariant,qwen2.5:7b,one_inert,0,14,3,13,3,3,0,1.0,0,0,10,0,0,0,1.0,1.0
verify_hard,invariant,qwen2.5:7b,one_inert,1,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.857,1.0
verify_hard,invariant,qwen2.5:7b,one_inert,2,14,3,13,3,3,0,1.0,0,0,10,0,0,0,0.846,1.0
verify_hard,invariant,qwen2.5:7b,one_inert,3,14,3,14,3,3,0,1.0,0,0,11,0,0,0,0.786,1.0
verify_hard,invariant,qwen2.5:7b,one_inert,4,14,3,13,3,3,0,1.0,0,0,10,0,0,0,0.923,1.0
verify_hard,invariant,qwen2.5:7b,one_inert,5,14,3,14,3,3,0,1.0,0,0,11,0,0,0,1.0,1.0
verify_hard,invariant,qwen2.5:7b,both_inert,0,14,0,13,0,0,0,,0,0,13,0,0,0,0.692,
