case,model,condition,uses_reference,source_model,trial,precision,recall,seam_recall,took_grade_cognate,surviving_false_cognates,residual,confident_errors,confident_error_rate,conf_wrong_mean,calibration_gap,source_queries,reasoning_tokens,missed
config_rest,gpt-5-mini,rich,False,,2,1.0,0.2,0.0,0,0,13,0,0.0,,,0,896,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,rich,False,,3,1.0,0.2,0.0,0,0,13,0,0.0,,,0,960,p.config~s.char;p.item~s.item;p.order~s.order;p.product~s.service
config_rest,gpt-5-mini,inert,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,832,
config_rest,gpt-5-mini,inert,True,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1088,
config_rest,gpt-5-mini,inert,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1024,
config_rest,gpt-5-mini,inert,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,832,
config_rest,gpt-5-mini,cognitive,True,gpt-5.6-sol,0,1.0,1.0,1.0,0,0,5,0,0.0,,,7,832,
config_rest,gpt-5-mini,cognitive,True,gpt-5.6-sol,1,1.0,1.0,1.0,0,0,5,0,0.0,,,7,1024,
config_rest,gpt-5-mini,cognitive,True,gpt-5.6-sol,2,1.0,1.0,1.0,0,0,5,0,0.0,,,7,896,
config_rest,gpt-5-mini,cognitive,True,gpt-5.6-sol,3,1.0,1.0,1.0,0,0,5,0,0.0,,,7,960,
config_rest,gpt-5-mini,rich,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,1024,
config_rest,gpt-5-mini,rich,True,,1,1.0,1.0,1.0,0,0,5,0,0.0,,,0,896,
config_rest,gpt-5-mini,rich,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,832,
config_rest,gpt-5-mini,rich,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,768,
config_rest,gpt-5-nano,inert,False,,0,0.667,0.8,0.5,1,1,3,2,0.333,0.9,0.023,0,2368,p.config~s.char
config_rest,gpt-5-nano,inert,False,,1,0.667,0.8,0.5,1,1,3,2,0.333,0.905,0.002,0,2880,p.config~s.char
config_rest,gpt-5-nano,inert,False,,2,0.833,1.0,1.0,1,1,3,1,0.167,0.93,-0.036,0,4608,
config_rest,gpt-5-nano,inert,False,,3,0.667,0.8,0.5,1,1,3,2,0.333,0.875,0.03,0,3008,p.config~s.char
config_rest,gpt-5-nano,cognitive,False,gpt-5.6-sol,0,0.833,1.0,1.0,1,1,3,0,0.0,0.77,0.13,7,2752,
config_rest,gpt-5-nano,cognitive,False,gpt-5.6-sol,1,0.6,0.6,0.0,1,1,5,1,0.2,0.79,0.067,7,4352,p.config~s.char;p.product~s.service
config_rest,gpt-5-nano,cognitive,False,gpt-5.6-sol,2,0.833,1.0,1.0,1,1,3,1,0.167,0.95,-0.1,7,4736,
config_rest,gpt-5-nano,cognitive,False,gpt-5.6-sol,3,0.833,1.0,1.0,1,1,3,1,0.167,0.92,-0.062,7,4608,
config_rest,gpt-5-nano,rich,False,,0,0.833,1.0,1.0,1,1,3,1,0.167,0.9,0.018,0,2496,
config_rest,gpt-5-nano,rich,False,,1,0.833,1.0,1.0,1,1,3,1,0.167,0.85,0.04,0,2688,
config_rest,gpt-5-nano,rich,False,,2,0.833,1.0,1.0,1,1,3,1,0.167,0.9,-0.022,0,2368,
config_rest,gpt-5-nano,rich,False,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,2240,
config_rest,gpt-5-nano,inert,True,,0,0.833,1.0,1.0,1,1,3,1,0.167,0.92,-0.022,0,5120,
config_rest,gpt-5-nano,inert,True,,1,0.833,1.0,1.0,1,1,3,1,0.167,0.92,0.0,0,3712,
config_rest,gpt-5-nano,inert,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,4992,
config_rest,gpt-5-nano,inert,True,,3,0.833,1.0,1.0,1,1,3,1,0.167,0.93,-0.016,0,4032,
config_rest,gpt-5-nano,cognitive,True,gpt-5.6-sol,0,0.833,1.0,1.0,1,1,3,0,0.0,0.7,0.194,7,3968,
config_rest,gpt-5-nano,cognitive,True,gpt-5.6-sol,1,0.833,1.0,1.0,1,1,3,1,0.167,0.85,0.088,7,2944,
config_rest,gpt-5-nano,cognitive,True,gpt-5.6-sol,2,1.0,1.0,1.0,0,0,5,0,0.0,,,7,3584,
config_rest,gpt-5-nano,cognitive,True,gpt-5.6-sol,3,1.0,1.0,1.0,0,0,5,0,0.0,,,7,4288,
config_rest,gpt-5-nano,rich,True,,0,1.0,1.0,1.0,0,0,5,0,0.0,,,0,3520,
config_rest,gpt-5-nano,rich,True,,1,0.833,1.0,1.0,1,1,3,1,0.167,0.85,0.062,0,4480,
config_rest,gpt-5-nano,rich,True,,2,1.0,1.0,1.0,0,0,5,0,0.0,,,0,3776,
config_rest,gpt-5-nano,rich,True,,3,1.0,1.0,1.0,0,0,5,0,0.0,,,0,4544,
