case,model,placement,level_pairs,divergence,uses_reference,trial,precision,recall,surviving_false_cognates,residual,confident_errors,confident_error_rate,conf_wrong_mean,calibration_gap,reasoning_tokens,surviving_traps
config_evpn,gpt-5-mini,both_inert,0,0.0,False,0,0.889,1.0,0,3,0,0.0,0.5,0.4,832,
config_evpn,gpt-5-mini,both_inert,0,0.0,False,1,1.0,1.0,0,5,0,0.0,,,1664,
config_evpn,gpt-5-mini,both_inert,0,0.0,False,2,0.889,1.0,0,3,0,0.0,0.4,0.487,1088,
config_evpn,gpt-5-mini,both_inert,0,0.0,False,3,1.0,1.0,0,5,0,0.0,,,1600,
config_evpn,gpt-5-mini,both_inert,8,1.0,False,0,1.0,1.0,0,5,0,0.0,,,1088,
config_evpn,gpt-5-mini,both_inert,8,1.0,False,1,0.889,1.0,0,3,0,0.0,0.45,0.475,1472,
config_evpn,gpt-5-mini,both_inert,8,1.0,False,2,0.889,1.0,0,3,0,0.0,0.7,0.219,2112,
config_evpn,gpt-5-mini,both_inert,8,1.0,False,3,1.0,1.0,0,5,0,0.0,,,1280,
config_evpn,gpt-5-nano,both_inert,0,0.0,True,0,1.0,1.0,0,5,0,0.0,,,4928,
config_evpn,gpt-5-nano,both_inert,0,0.0,True,1,0.889,1.0,0,3,0,0.0,0.6,0.275,3648,
config_evpn,gpt-5-nano,both_inert,0,0.0,True,2,1.0,1.0,0,5,0,0.0,,,4416,
config_evpn,gpt-5-nano,both_inert,0,0.0,True,3,0.889,1.0,0,3,1,0.111,0.85,0.06,6080,
config_evpn,gpt-5-nano,both_inert,2,0.25,True,0,0.889,1.0,0,3,0,0.0,0.6,0.307,6016,
config_evpn,gpt-5-nano,both_inert,2,0.25,True,1,0.889,1.0,0,3,1,0.111,0.8,0.095,3520,
config_evpn,gpt-5-nano,both_inert,2,0.25,True,2,0.889,1.0,0,3,1,0.111,0.9,-0.007,6976,
config_evpn,gpt-5-nano,both_inert,2,0.25,True,3,0.889,1.0,0,3,0,0.0,0.75,0.125,3904,
